Distribuição dos casos de dengue  autóctones segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2019.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DRS;;GVE;;Região de Saúde;Município;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35131;HORIZONTE VERDE;351460 Dumont;0;0;0;0;0;0;1;0;0;1;0;2;3;4;8;13;24;16;15;14;15;6;7;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;135
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351470 Echaporã;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;351480 Eldorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;1;5;2;2;3;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
10;Piracicaba;XX;PIRACICABA;35103;PIRACICABA;351490 Elias Fausto;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;1;6;7;4;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;351492 Elisiário;0;0;0;0;0;0;0;0;0;1;0;2;2;2;1;1;0;0;10;8;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;351495 Embaúba;0;0;0;0;0;0;2;5;4;8;7;3;5;10;11;9;13;7;6;14;12;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121
1;São Paulo;X;OSASCO;35013;MANANCIAIS;351500 Embu;0;0;1;0;0;1;0;0;0;0;0;3;3;4;1;8;9;18;10;15;3;3;4;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86
1;São Paulo;X;OSASCO;35013;MANANCIAIS;351510 Embu-Guaçu;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;4;2;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;14
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;351512 Emilianópolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
10;Piracicaba;XX;PIRACICABA;35102;LIMEIRA;351515 Engenheiro Coelho;0;0;0;0;0;0;2;1;1;6;7;12;18;26;23;21;26;28;29;20;13;10;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;253
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35142;MANTIQUEIRA;351518 Espírito Santo do Pinhal;1;0;1;0;0;1;0;0;0;0;0;1;4;1;2;0;1;7;5;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
9;Marília;XIII;ASSIS;35094;OURINHOS;351519 Espírito Santo do Turvo;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
15;São José do Rio Preto;XXX;JALES;35154;FERNANDÓPOLIS;351520 Estrela d'Oeste;0;0;0;1;7;2;7;9;6;7;10;6;14;8;5;12;3;7;11;18;13;7;9;11;9;22;14;4;4;1;1;2;2;0;1;0;0;2;2;2;1;0;2;4;5;9;16;10;7;22;20;24;359
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;351530 Estrela do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Presidente Prudente;XXII;PRESIDENTE VENCESLAU;35115;PONTAL DO PARANAPANEMA;351535 Euclides da Cunha Paulista;0;0;0;0;0;0;0;0;0;0;3;5;8;5;2;2;8;9;7;37;13;6;3;4;3;1;2;3;1;0;0;1;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;127
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;351540 Fartura;0;0;0;0;0;0;0;0;0;0;1;2;1;3;6;10;19;14;17;27;27;18;12;13;5;1;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181
15;São José do Rio Preto;XXX;JALES;35154;FERNANDÓPOLIS;351550 Fernandópolis;35;49;52;105;151;217;289;297;269;235;290;309;262;264;235;258;240;177;141;185;115;93;62;57;43;36;15;17;12;13;9;10;3;0;4;4;5;4;3;3;4;5;0;2;3;1;1;2;4;3;1;8;4602
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;351560 Fernando Prestes;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;3;3;8;7;7;6;3;1;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351565 Fernão;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351570 Ferraz de Vasconcelos;0;0;0;1;0;0;0;0;0;1;0;3;1;1;4;7;7;8;6;4;12;6;3;3;0;3;0;3;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;81
11;Presidente Prudente;XXII;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;351580 Flora Rica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;351590 Floreal;0;0;0;0;0;0;0;1;0;3;3;12;4;9;7;2;3;2;6;0;1;0;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61
9;Marília;XIX;MARÍLIA;35091;ADAMANTINA ;351600 Flórida Paulista;0;1;2;5;4;15;19;6;7;9;14;13;30;44;49;33;39;53;59;54;48;39;33;38;14;10;9;7;11;5;3;3;0;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;683
9;Marília;XIII;ASSIS;35092;ASSIS;351610 Florínia;0;0;0;0;0;0;19;27;19;43;21;25;5;5;4;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178
8;Franca;XVIII;FRANCA;35081;TRÊS COLINAS;351620 Franca;50;60;135;171;111;52;115;296;289;242;230;190;148;187;185;139;140;199;219;198;146;69;27;12;13;17;20;13;8;6;6;6;4;3;1;6;5;6;5;1;1;3;0;1;1;1;2;1;1;1;3;6;3751
1;São Paulo;IX;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;351630 Francisco Morato;0;0;1;0;0;1;3;4;6;2;5;9;29;21;46;67;79;124;232;152;140;59;46;33;19;19;10;9;4;4;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1130
1;São Paulo;IX;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;351640 Franco da Rocha;0;0;0;0;0;0;0;3;1;1;1;3;5;10;22;25;40;42;37;62;52;56;32;12;14;7;7;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;436
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;351650 Gabriel Monteiro;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;10;6;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351660 Gália;0;0;0;0;0;0;1;5;5;5;13;8;6;11;12;10;6;4;0;0;3;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351670 Garça;0;2;0;1;2;4;9;4;2;7;6;11;18;31;37;37;47;37;37;43;34;23;22;22;21;23;11;3;4;4;4;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;3;3;521
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;351680 Gastão Vidigal;0;1;1;1;2;4;10;9;3;1;6;6;7;5;3;1;6;2;0;2;3;3;2;1;2;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;4;0;0;2;0;0;1;0;0;0;0;0;93
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;351685 Gavião Peixoto;2;2;22;13;21;33;17;35;24;17;6;15;15;3;12;4;11;5;10;20;10;6;1;0;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;351690 General Salgado;0;0;2;2;3;4;2;3;7;4;2;4;5;4;1;6;7;11;9;11;9;7;10;11;7;2;0;1;0;0;0;0;2;0;1;1;0;0;0;0;1;0;0;1;0;1;0;1;2;0;2;0;146
6;Bauru;XV;BAURU;35065;LINS;351700 Getulina;0;0;0;0;1;0;0;2;2;2;7;12;10;28;67;78;63;59;33;44;40;5;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;458
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;351710 Glicério;0;0;0;0;0;2;2;3;3;4;4;5;5;9;6;9;9;7;10;26;23;7;6;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145
6;Bauru;XV;BAURU;35065;LINS;351720 Guaiçara;6;5;10;6;5;9;14;19;7;4;14;18;30;43;51;52;45;38;50;30;24;24;6;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351730 Guaimbê;0;0;2;0;1;1;8;0;0;1;2;4;0;2;7;5;5;3;2;5;2;5;6;6;0;3;0;1;0;1;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;3;3;6;8;6;6;8;120
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;351740 Guaíra;6;2;13;20;33;73;75;77;64;85;84;116;124;106;128;114;168;157;114;167;115;104;105;81;74;30;39;11;14;4;1;1;8;5;5;0;3;1;1;1;0;0;1;1;1;1;0;0;2;0;1;0;2336
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351750 Guapiaçu;1;0;0;3;5;8;27;35;31;36;25;41;41;61;79;44;52;41;33;32;20;19;17;10;8;8;5;1;0;0;1;0;3;0;4;0;0;1;0;0;0;0;1;0;0;0;2;3;3;3;4;1;709
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;351760 Guapiara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Franca;XVIII;FRANCA;35083;ALTA MOGIANA;351770 Guará;4;18;20;29;13;12;15;30;49;36;36;26;8;6;8;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;320
2;Araçatuba;XI;ARAÇATUBA;35022;LAGOS DO DRS II;351780 Guaraçaí;32;26;21;35;45;41;27;43;15;13;22;7;5;4;6;4;4;4;10;6;0;4;2;11;4;7;2;0;2;1;3;2;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;413
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;351790 Guaraci;10;1;7;15;21;28;24;14;7;6;12;1;1;3;2;2;1;0;1;2;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;164
15;São José do Rio Preto;XXX;JALES;35154;FERNANDÓPOLIS;351800 Guarani d'Oeste;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;0;0;10;4;2;0;3;2;3;0;0;0;0;2;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351810 Guarantã;0;0;0;0;0;0;0;0;0;0;0;0;2;6;14;26;20;16;4;4;7;4;4;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;351820 Guararapes;4;11;7;19;20;19;18;16;45;27;47;45;75;94;113;92;81;61;77;64;48;33;18;18;18;16;7;9;9;2;1;0;2;2;2;1;0;2;1;1;3;1;3;5;1;4;1;3;5;9;11;16;1187
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351830 Guararema;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;3;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351840 Guaratinguetá;0;0;0;0;0;0;0;0;1;0;1;4;1;1;2;5;8;15;20;17;18;13;4;5;8;4;5;4;1;0;1;0;1;0;0;1;1;0;1;0;0;2;0;0;0;5;3;7;3;6;6;10;184
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;351850 Guareí;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35131;HORIZONTE VERDE;351860 Guariba;0;0;0;0;1;4;5;4;5;2;5;18;19;36;54;50;61;54;67;92;55;38;38;11;14;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640
4;Baixada Santista;XXV;SANTOS;35041;BAIXADA SANTISTA;351870 Guarujá;0;0;0;1;5;3;4;5;9;1;10;8;11;6;14;21;27;25;17;12;12;8;8;7;6;6;8;5;1;4;0;2;1;0;1;1;1;0;2;0;1;1;2;3;0;2;0;2;2;2;2;1;270
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351880 Guarulhos;1;2;4;8;9;18;24;27;34;52;94;101;147;201;329;402;488;657;803;767;635;485;285;204;133;134;66;58;13;27;21;15;12;5;3;4;8;5;10;7;10;15;8;9;6;10;13;8;8;8;15;2;6410
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35132;AQUÍFERO GUARANI;351885 Guatapará;1;0;0;0;4;3;4;2;6;9;3;1;1;3;5;4;10;2;7;5;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;85
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;351890 Guzolândia;0;0;0;0;1;1;5;2;3;3;4;7;10;4;5;4;0;1;3;0;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58
9;Marília;XIX;MARÍLIA;35095;TUPÃ;351900 Herculândia;0;0;0;1;1;0;3;2;2;13;19;17;11;21;19;19;15;22;28;18;20;10;7;4;4;1;0;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;263
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;351905 Holambra;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2;2;2;3;1;4;2;1;0;1;0;0;0;0;3;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;29
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;351907 Hortolândia;1;1;2;3;6;7;6;11;5;8;36;39;34;60;70;73;94;114;143;127;89;44;83;62;43;22;16;10;6;11;4;4;2;0;0;3;2;1;1;1;3;1;2;0;1;1;1;0;1;0;3;2;1259
6;Bauru;XV;BAURU;35062;BAURU;351910 Iacanga;0;0;0;0;0;7;11;19;11;11;12;7;16;10;9;14;17;14;9;4;10;3;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191
9;Marília;XIX;MARÍLIA;35095;TUPÃ;351920 Iacri;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;4;3;3;2;3;2;2;2;1;5;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;3;45
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;351925 Iaras;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;2;3;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
3;Araraquara;XII;ARARAQUARA;35034;CORAÇÃO DO DRS III;351930 Ibaté;0;1;0;1;2;9;6;14;6;7;13;13;18;23;29;37;31;31;32;22;25;22;19;7;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;378
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351940 Ibirá;0;4;2;11;17;24;31;23;25;23;41;54;64;114;47;46;46;48;40;38;37;18;23;12;7;13;12;3;9;2;1;4;4;3;1;0;2;3;0;0;0;1;3;3;2;0;2;5;4;13;12;14;911
9;Marília;XIII;ASSIS;35094;OURINHOS;351950 Ibirarema;0;0;0;0;3;0;6;0;3;7;18;18;24;27;12;17;28;19;7;2;7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200
3;Araraquara;XII;ARARAQUARA;35032;CENTRO OESTE DO DRS III;351960 Ibitinga;0;0;1;1;3;4;0;6;5;2;8;11;7;6;10;9;10;13;29;16;12;11;11;6;4;7;3;3;3;2;1;2;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;211
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;351970 Ibiúna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;6
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351980 Icém;2;0;8;8;13;11;6;4;5;1;0;0;3;8;3;5;0;0;1;7;1;2;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;95
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35113;ALTO CAPIVARI;351990 Iepê;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;2;0;1;2;2;0;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;2;1;0;25
6;Bauru;XV;BAURU;35064;JAU;352000 Igaraçu do Tietê;0;0;0;0;0;0;0;1;1;1;1;2;2;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
8;Franca;XVIII;FRANCA;35083;ALTA MOGIANA;352010 Igarapava;41;45;44;24;29;22;106;46;4;4;2;0;0;0;0;0;1;0;6;8;17;18;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;428
17;Taubaté;XXVII;SÃO JOSÉ DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;352020 Igaratá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;352030 Iguape;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
17;Taubaté;XXVIII;CARAGUATATUBA;35173;LITORAL NORTE;352040 Ilhabela;1;0;0;1;1;2;4;4;3;4;6;6;4;7;8;11;7;6;7;7;11;6;14;6;3;6;4;6;6;2;1;0;1;0;0;0;1;0;0;2;1;1;0;0;0;1;0;2;0;1;0;0;164
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;352042 Ilha Comprida;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;1;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
2;Araçatuba;XI;ARAÇATUBA;35022;LAGOS DO DRS II;352044 Ilha Solteira;56;75;78;106;81;57;35;6;4;5;6;2;4;0;1;2;2;0;2;2;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;530
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;352050 Indaiatuba;0;1;0;0;2;0;2;2;2;1;10;8;7;19;10;14;9;21;27;31;27;15;11;9;23;17;6;4;4;2;1;0;1;0;0;0;0;3;0;2;2;0;0;0;2;0;0;1;0;1;0;0;297
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;352060 Indiana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
15;São José do Rio Preto;XXX;JALES;35154;FERNANDÓPOLIS;352070 Indiaporã;0;0;0;0;0;0;0;1;1;0;0;0;1;1;2;9;3;5;4;2;1;1;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
9;Marília;XIX;MARÍLIA;35091;ADAMANTINA ;352080 Inúbia Paulista;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;2;3;6;13;5;1;6;7;2;4;1;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59
9;Marília;XIII;ASSIS;35094;OURINHOS;352090 Ipauçu;0;0;0;0;0;0;0;0;0;1;1;2;1;0;8;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;352100 Iperó;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;2;2;4;5;1;0;0;2;2;4;2;2;3;0;2;2;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;2;2;4;2;8;64
10;Piracicaba;XX;PIRACICABA;35104;RIO CLARO;352110 Ipeúna;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;4;3;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;1;0;0;27
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;352115 Ipiguá;18;10;16;18;38;22;25;13;8;8;11;11;8;8;4;5;4;6;5;7;3;5;5;1;1;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;352120 Iporanga;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
8;Franca;XVIII;FRANCA;35082;ALTA ANHANGUERA;352130 Ipuã;37;33;28;55;115;153;152;37;38;71;41;33;35;17;7;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;859
10;Piracicaba;XX;PIRACICABA;35102;LIMEIRA;352140 Iracemápolis;0;0;0;0;0;1;0;0;1;2;3;7;9;9;18;12;12;9;8;9;10;4;3;3;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;126
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;352150 Irapuã;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;1;1;2;0;1;0;2;1;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
11;Presidente Prudente;XXII;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;352160 Irapuru;0;0;0;1;0;0;1;0;1;2;9;9;6;7;4;8;8;17;39;41;17;19;6;11;16;12;17;8;3;4;6;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;352170 Itaberá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
