Distribuição dos casos de dengue  autóctones segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2019.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DRS;;GVE;;Região de Saúde;Município;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350270 Apiaí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350275 Araçariguama;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;4;3;1;3;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350280 Araçatuba;2;7;14;22;44;71;77;115;144;160;243;274;303;397;298;310;513;630;753;747;626;461;436;327;224;192;95;44;66;38;35;28;12;16;4;3;1;5;2;5;4;2;6;6;5;1;3;2;12;17;8;8;7818
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350290 Araçoiaba da Serra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Franca;XVIII;FRANCA;35083;ALTA MOGIANA;350300 Aramina;19;22;16;18;17;9;8;7;3;1;2;0;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350310 Arandu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350315 Arapeí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350320 Araraquara;243;346;523;681;1.106;1.830;2.112;2.046;1.932;1.682;1.572;1.310;1.312;1.189;1.198;935;804;611;475;346;253;163;100;39;35;21;18;20;15;11;12;9;18;4;4;4;5;10;7;6;5;3;7;4;5;3;3;11;7;9;10;2;23076
10;Piracicaba;XX;PIRACICABA;35101;ARARAS;350330 Araras;0;0;1;3;1;3;1;2;2;8;3;10;29;33;36;35;51;52;64;77;57;36;25;27;15;15;11;5;0;2;2;3;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;1;2;2;4;2;626
9;Marília;XIX;MARÍLIA;35095;TUPÃ;350335 Arco-Íris;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;1;0;3;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
6;Bauru;XV;BAURU;35062;BAURU;350340 Arealva;0;0;0;0;0;2;1;0;2;4;5;8;11;16;23;21;13;6;8;14;7;3;7;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;158
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350350 Areias;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350360 Areiópolis;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;350370 Ariranha;1;0;1;0;1;0;0;0;0;0;0;0;1;0;2;1;3;4;3;6;2;0;3;1;1;3;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;11;50
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350380 Artur Nogueira;0;0;0;0;0;1;3;1;2;0;1;5;1;5;5;3;10;19;12;14;9;13;8;3;5;3;1;2;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;2;0;0;0;0;135
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350390 Arujá;0;0;0;2;1;2;0;0;0;4;2;3;7;5;5;9;17;15;21;16;12;15;5;4;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;151
15;São José do Rio Preto;XXX;JALES;35153;JALES;350395 Aspásia;0;0;0;0;0;0;0;1;0;2;2;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;13
9;Marília;XIII;ASSIS;35092;ASSIS;350400 Assis;1;1;1;5;2;14;12;14;31;24;52;90;86;154;183;183;239;247;303;244;149;111;77;73;61;36;19;12;12;10;19;7;8;2;2;3;1;1;2;0;1;0;0;1;0;1;6;0;0;5;1;5;2511
7;Campinas;XVII;CAMPINAS;35071;BRAGANÇA;350410 Atibaia;2;1;1;0;2;2;3;6;3;2;8;14;32;17;16;21;34;17;31;28;40;21;11;18;8;8;7;2;2;4;2;3;7;2;8;3;1;1;3;3;1;2;5;3;2;2;4;2;0;4;5;3;427
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350420 Auriflama;0;0;0;0;2;1;2;3;9;7;14;29;44;33;65;84;74;82;57;23;12;7;5;0;4;4;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;566
6;Bauru;XV;BAURU;35062;BAURU;350430 Avaí;0;0;2;2;2;1;20;13;4;13;22;23;23;14;4;2;2;2;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350440 Avanhandava;0;1;1;2;11;7;16;5;1;2;3;9;22;7;13;3;2;5;6;2;0;0;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;126
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350450 Avaré;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;0;3;0;1;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
